Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
SP1,2005-08-27,Alavés,Barcelona,0,0,D,0,0,D,5,17,0,10,17,19,3,7,0,1,0,0,7.0,3.75,1.5
SP1,2005-08-27,Athletic,R. Sociedad,3,0,H,0,0,D,10,9,6,2,13,19,3,4,0,1,0,0,2.0,3.25,3.25
SP1,2005-08-27,Valencia,Real Betis,1,0,H,0,0,D,9,14,2,3,18,14,8,5,2,3,0,0,2.0,3.25,3.25
SP1,2005-08-28,Atlético,Real Zaragoza,0,0,D,0,0,D,16,9,5,2,16,22,8,4,2,7,0,0,1.72,3.4,4.0
SP1,2005-08-28,Cádiz,Real Madrid,1,2,A,0,1,A,15,17,5,6,19,25,8,8,2,2,0,0,7.5,4.0,1.44
SP1,2005-08-28,Celta,Málaga,2,0,H,1,0,H,9,10,5,4,19,25,4,11,1,2,0,0,2.1,3.25,3.0
SP1,2005-08-28,Espanyol,Getafe,0,2,A,0,0,D,8,16,3,9,23,25,4,2,2,3,0,0,1.61,3.4,5.0
SP1,2005-08-28,Mallorca,RC Deportivo,0,1,A,0,1,A,10,12,3,3,19,19,8,4,2,4,0,0,2.7,3.2,2.3
SP1,2005-08-28,Osasuna,Villarreal,2,1,H,1,0,H,8,10,4,3,20,9,2,4,5,2,0,0,2.7,3.2,2.3
SP1,2005-08-28,Sevilla,Racing,1,0,H,1,0,H,18,5,5,3,22,27,9,3,2,3,0,0,1.66,3.4,4.5
SP1,2005-09-10,Real Betis,Osasuna,1,0,H,0,0,D,15,12,4,3,21,29,4,1,2,6,0,0,1.66,3.4,4.5
SP1,2005-09-10,RC Deportivo,Atlético,1,0,H,0,0,D,11,13,5,7,16,22,4,5,2,2,0,0,2.0,3.25,3.25
SP1,2005-09-10,Real Madrid,Celta,2,3,A,2,2,D,26,14,5,5,20,18,6,4,3,1,0,0,1.25,5.0,9.0
SP1,2005-09-11,Barcelona,Mallorca,2,0,H,2,0,H,23,6,7,0,13,20,7,3,2,2,0,2,1.2,5.0,12.0
SP1,2005-09-11,Getafe,Athletic,1,1,D,1,1,D,11,6,4,2,14,19,6,3,2,1,1,0,2.3,3.2,2.7
SP1,2005-09-11,Málaga,Espanyol,1,2,A,0,0,D,16,6,6,5,16,18,4,4,2,4,0,0,2.1,3.25,3.0
SP1,2005-09-11,Racing,Cádiz,0,1,A,0,0,D,8,8,2,5,17,12,4,9,1,1,0,0,1.9,3.25,3.5
SP1,2005-09-11,R. Sociedad,Alavés,2,1,H,2,0,H,10,8,5,3,27,14,4,8,0,0,0,0,1.9,3.25,3.5
SP1,2005-09-11,Villarreal,Sevilla,1,1,D,0,1,A,12,22,3,9,11,15,7,6,3,1,1,0,1.8,3.25,4.0
SP1,2005-09-11,Real Zaragoza,Valencia,2,2,D,2,1,H,14,6,7,2,25,20,2,2,1,3,0,0,2.5,3.2,2.5
SP1,2005-09-17,Mallorca,R. Sociedad,5,2,H,1,2,A,21,7,11,4,11,19,11,6,0,3,0,0,2.3,3.2,3.0
SP1,2005-09-17,Valencia,RC Deportivo,2,2,D,0,1,A,17,11,6,5,22,13,7,3,3,3,1,1,2.0,3.2,3.75
SP1,2005-09-18,Alavés,Getafe,3,4,A,2,3,A,16,11,5,6,20,25,2,9,2,5,0,0,2.2,3.25,3.2
SP1,2005-09-18,Athletic,Málaga,1,2,A,0,0,D,14,9,6,4,16,14,1,2,2,3,0,0,1.72,3.3,5.0
SP1,2005-09-18,Atlético,Barcelona,2,1,H,1,1,D,16,18,6,4,22,17,5,7,2,2,1,0,3.75,3.2,2.0
SP1,2005-09-18,Real Betis,Real Zaragoza,0,0,D,0,0,D,16,10,4,6,23,21,4,2,2,5,0,0,1.8,3.3,4.5
SP1,2005-09-18,Cádiz,Villarreal,1,1,D,1,1,D,9,9,6,3,19,25,5,2,1,4,0,0,3.0,3.2,2.3
SP1,2005-09-18,Celta,Racing,0,1,A,0,0,D,15,12,2,5,15,28,6,3,1,7,0,0,1.8,3.4,4.5
SP1,2005-09-18,Espanyol,Real Madrid,1,0,H,0,0,D,13,28,2,5,16,16,4,8,2,2,0,2,4.0,3.3,1.9
SP1,2005-09-18,Osasuna,Sevilla,1,0,H,0,0,D,10,15,5,2,21,26,1,7,3,4,1,1,2.5,3.2,2.75
SP1,2005-09-21,Barcelona,Valencia,2,2,D,1,0,H,10,5,5,4,30,25,7,0,3,2,0,0,1.57,3.6,6.0
SP1,2005-09-21,Getafe,Mallorca,1,1,D,1,0,H,16,12,5,3,24,17,3,4,3,2,0,0,1.9,3.25,4.0
SP1,2005-09-21,RC Deportivo,Real Betis,1,1,D,1,1,D,17,11,6,3,21,19,5,1,5,5,0,0,2.0,3.3,3.5
SP1,2005-09-21,Málaga,Alavés,0,0,D,0,0,D,13,6,4,1,25,14,4,5,2,2,1,0,1.83,3.3,4.33
SP1,2005-09-21,Racing,Espanyol,1,0,H,0,0,D,13,11,7,3,19,19,7,4,3,5,0,1,2.3,3.25,2.87
SP1,2005-09-21,Sevilla,Cádiz,0,0,D,0,0,D,25,3,4,1,20,17,14,6,3,6,0,0,1.57,3.6,6.0
SP1,2005-09-21,R. Sociedad,Atlético,3,2,H,0,2,A,21,14,9,6,16,25,7,4,2,3,0,0,2.37,3.2,2.8
SP1,2005-09-21,Villarreal,Celta,1,2,A,0,1,A,14,11,4,5,17,16,3,5,1,2,0,0,1.66,3.6,5.0
SP1,2005-09-21,Real Zaragoza,Osasuna,3,1,H,0,0,D,22,6,11,3,20,17,3,1,2,3,0,0,1.8,3.25,4.33
SP1,2005-09-22,Real Madrid,Athletic,3,1,H,0,1,A,16,21,9,5,19,20,6,4,1,5,1,0,1.44,4.0,7.5
SP1,2005-09-24,Atlético,Getafe,0,1,A,0,0,D,12,12,4,4,21,27,8,2,3,4,0,1,1.66,3.4,5.5
SP1,2005-09-24,Real Betis,Barcelona,1,4,A,1,1,D,9,23,5,10,19,17,1,7,4,2,1,0,3.4,3.25,2.1
SP1,2005-09-24,Espanyol,Villarreal,1,2,A,0,1,A,9,13,3,4,9,12,8,3,1,1,0,0,2.3,3.2,3.0
SP1,2005-09-24,Valencia,R. Sociedad,2,1,H,1,0,H,11,11,8,4,20,12,5,8,2,1,0,0,1.5,3.75,7.0
SP1,2005-09-24,Real Zaragoza,RC Deportivo,1,1,D,1,1,D,15,16,7,5,22,15,8,7,2,1,0,0,2.4,3.25,2.8
SP1,2005-09-25,Alavés,Real Madrid,0,3,A,0,0,D,17,20,6,7,17,24,7,10,1,3,0,0,6.0,3.4,1.61
SP1,2005-09-25,Athletic,Racing,0,0,D,0,0,D,17,5,3,1,16,29,17,5,3,6,0,0,1.72,3.3,5.0
SP1,2005-09-25,Celta,Sevilla,2,1,H,2,0,H,12,9,5,3,22,24,4,6,2,5,0,0,2.2,3.2,3.25
SP1,2005-09-25,Mallorca,Málaga,1,4,A,0,2,A,14,9,7,5,24,22,8,2,0,1,0,0,2.1,3.25,3.4
SP1,2005-09-25,Osasuna,Cádiz,2,0,H,1,0,H,19,3,7,0,27,13,5,5,4,2,0,0,1.9,3.25,4.0
SP1,2005-10-01,Barcelona,Real Zaragoza,2,2,D,0,0,D,22,7,7,3,16,23,1,2,4,3,0,1,1.33,4.5,9.5
SP1,2005-10-01,Getafe,Valencia,2,1,H,1,1,D,12,9,6,2,25,24,2,0,1,4,0,1,2.6,3.2,2.62
SP1,2005-10-02,Cádiz,Celta,1,1,D,1,1,D,11,8,6,5,26,18,3,3,2,4,0,0,2.5,3.2,2.75
SP1,2005-10-02,RC Deportivo,Osasuna,0,1,A,0,1,A,12,7,1,4,24,25,2,5,1,3,0,0,1.66,3.4,5.5
SP1,2005-10-02,Málaga,Atlético,0,2,A,0,1,A,7,14,2,7,19,20,4,6,3,4,0,0,2.4,3.25,2.8
SP1,2005-10-02,Real Madrid,Mallorca,4,0,H,2,0,H,16,11,8,3,17,18,9,5,0,2,0,1,1.25,5.0,13.0
