Date,HomeTeam,AwayTeam,home_lineup_names,away_lineup_names
2005-08-27,Alavés,Barcelona,"['Roberto Bonano', 'Edu Alonso', 'Martín Astudillo', 'Josu Sarriegi', 'Poli', 'Juanito', 'Jandro', 'Quique De Lucas', 'Nenê', 'Rubén Navarro', 'Bodipo']","['Víctor Valdés', 'Carles Puyol', 'Rafael Márquez', 'Giovanni Van Bronckhorst', 'Oleguer', 'Edmilson', 'Deco', 'Xavi', 'Ronaldinho', ""Samuel Eto'o"", 'Ludovic Giuly']"
2005-08-27,Athletic,R. Sociedad,"['Daniel Aranzubia', 'Casas', 'Luis Prieto', 'Andoni Iraola', 'Unai Expósito', 'Carlos Gurpegui', 'Ibon Gutiérrez', 'Pablo Orbaiz', 'Francisco Yeste', 'Fernando Llorente', 'Joseba Etxeberría']","['Asier Riesgo', 'Labaka', 'Javi Garrido', 'López Rekarte', 'Mikel Alonso', 'Mikel Aranburu', 'Barkero', 'Gorka Larrea', 'Gaizka Garitano', 'Garikoitz Uranga', 'Darko Kovacevic']"
2005-08-27,Valencia,Real Betis,"['Santiago Cañizares', 'Roberto Ayala', 'Fábio Aurélio', 'Raúl Albiol', 'Emiliano Moretti', 'Pablo Aimar', 'David Albelda', 'Rubén Baraja', 'Vicente', 'Francisco Rufete', 'Mista']","['Doblas', 'Juanito', 'Nano', 'Óscar López', 'Luis Fernández', 'Arzu', 'Rivera', 'Marcos Assunção', 'Joaquín', 'Edu', 'Ricardo Oliveira']"
2005-08-28,Atlético,Real Zaragoza,"['Leonardo Franco', 'Antonio López', 'Pablo Ibáñez', 'Luis Perea', 'Juan Velasco', 'Gabi', 'Martin Petrov', 'Peter Luccin', 'Maximiliano Rodriguez', 'Fernando Torres', 'Mateja Kezman']","['César', 'Gabriel Milito', 'Delio Toledo', 'Álvaro Maior', 'José Movilla', 'Leonardo Ponzio', 'Alberto Zapater', 'Sávio', 'Óscar', 'Sergio García', 'Ewerthon']"
2005-08-28,Celta,Málaga,"['José Pinto', 'Sergio', 'Ángel López', 'Diego Placente', 'Pablo Contreras', 'Iriney', 'Everton Giovanella', 'Gustavo López', 'Fabian Canobbio', 'Fernando Baiano', 'Antonio Núñez']","['Francesc Arnau', 'Alexis', 'Gerardo', 'Nacho', 'César Navas', 'Valcarce', 'Fernando Sanz', 'Juan Rodríguez', 'Marcelo Romero', 'Salva Ballesta', 'Edgar']"
2005-08-28,Espanyol,Getafe,"['Carlos Kameni', 'Juanfran', 'Alberto Lopo', 'Armando Sá', 'David García', 'Pablo Zabaleta', 'Mauricio Pochettino', 'Iván De La Peña', 'Eduardo Costa', 'Ito', 'Raúl Tamudo']","['Luis García', 'Mariano Pernía', 'David Belenguer', 'Aníbal Matellán', 'Cosmin Contra', 'Diego Rivas', 'Fabio Celestini', 'Mario Cotelo', 'Jaime Gavilán', 'Riki', 'Daniel Güiza']"
2005-08-28,Sevilla,Racing,"['Andrés Palop', 'Sergio Ramos', 'David Castedo', 'Aitor Ocio', 'Daniel Alves', 'Jesús Navas', 'Renato', 'José Martí', 'Antonio López', 'Frédéric Kanouté', 'Kepa']","['Dudu Aouate', 'Pinillos', 'Moratón', 'Francisco Neru', 'Walid Regragui', 'Felipe Melo', 'Vitolo', 'Javi Casquero', 'Stéphane Dalmat', 'José Marqués', 'David Aganzo']"
2005-08-28,Osasuna,Villarreal,"['Ricardo', 'Josetxo', 'Carlos Cuéllar', 'Enrique Corrales', 'Javi Flaño', 'Francisco Puñal', 'David López', 'Ludovic Delporte', 'Raúl García', 'Bernardo Romeo', 'Savo Milosevic']","['Mariano Barbosa', 'Q. Álvarez', 'Gonzalo Rodríguez', 'Rodolfo Arruabarrena', 'Jan Kromkamp', 'Juan Sorín', 'Marcos Senna', 'Josico', 'Juan Riquelme', 'Luciano Figueroa', 'Diego Forlán']"
2005-08-28,Mallorca,RC Deportivo,"['Miguel Moyá', 'Fernando Navarro', 'David Cortés', 'Alessandro Potenza', 'Sergio Ballesteros', 'Guillermo Pereyra', 'Adrián Peralta', 'Campano', 'Javier Farinós', 'Tuni', 'Yoshito Okubo']","['Molina', 'Lionel Scaloni', 'Jorge Andrade', 'Manuel Pablo', 'Joan Capdevila', 'Juanma Delgado', 'Aldo Duscher', 'Sergio', 'Iván Carril', 'Diego Tristán', 'Rubén Castro']"
2005-08-28,Cádiz,Real Madrid,"['Armando', 'Abraham Paz', 'De Quintana', 'Raul', 'Varela', 'Sesma', 'Enrique', 'Andrés Fleurquin', 'Suárez', 'Pavoni', 'Oli']","['Iker Casillas', 'Roberto Carlos', 'Míchel Salgado', 'Iván Helguera', 'Francisco Pavón', 'David Beckham', 'Zinedine Zidane', 'Thomas Gravesen', 'Ronaldo', 'Raúl', 'Júlio Baptista']"
