date_time,home_team,away_team,home_lineup,away_lineup
2005-08-27 18:00:00+00:00,Alavés,Barcelona,"['/player/roberto-bonano', '/player/edu-alonso', '/player/m-astudillo-473703', '/player/josu-sarriegi', '/player/hipolito-fernandez-serrano', '/player/juan-jesus-gutierrez-robles', '/player/jandro-30560', '/player/de-lucas-30385', '/player/nene-30766', '/player/ruben-navarro-29116', '/player/bodipo-23584']","['/player/v-valdes-7171', '/player/puyol-23562', '/player/r-marquez-23561', '/player/giovanni-van-bronckhorst', '/player/oleguer-presas-renom-29669', '/player/edmilson-jose-gomes-de-moraes', '/player/deco-61725', '/player/xavi-23564', '/player/ronaldinho-27076', '/player/s-eto-o-23565', '/player/l-giuly-1062']"
2005-08-27 20:00:00+00:00,Athletic,R. Sociedad,"['/player/aranzubia-23570', '/player/javier-casas-cuevas', '/player/luis-prieto-23369', '/player/a-iraola-29960', '/player/u-exposito-29738', '/player/c-gurpegui-29971', '/player/i-gutierrez-34734', '/player/p-orbaiz-29970', '/player/francisco-javier-yeste-navarro-29968', '/player/f-llorente-29980', '/player/joseba-etxeberria-lizardi']","['/player/riesgo-30475', '/player/labaka-27447', '/player/j-garrido-136', '/player/aitor-lopez-rekarte', '/player/mikel-alonso-olano', '/player/mikel-aranburu-eizagirre-27451', '/player/barkero-10861', '/player/gorka-larrea-29346', '/player/gaizka-garitano', '/player/garikoitz-uranga', '/player/darko-kovacevic']"
2005-08-27 20:00:00+00:00,Valencia,Real Betis,"['/player/santiago-canizares', '/player/roberto-fabian-ayala', '/player/f-aurelio-126', '/player/r-albiol-7342', '/player/emiliano-moretti', '/player/p-aimar-36882', '/player/d-albelda-23380', '/player/ruben-baraja-vegas', '/player/vicente-rodriguez-guillen', '/player/rufete-11268', '/player/miguel-angel-ferrer-martinez']","['/player/doblas-27603', '/player/juanito-23327', '/player/victoriano-rivas-alvaro', '/player/oscar-lopez-hernandez', '/player/luis-fernandez', '/player/arzu-23333', '/player/rivera-9911', '/player/marcos-assuncao-7350', '/player/joaquin-23384', '/player/luis-schmidt', '/player/ricardo-oliveira-10936']"
2005-08-28 17:00:00+00:00,Atlético,Real Zaragoza,"['/player/l-franco-28115', '/player/antonio-lopez-23522', '/player/pablo-ibanez-tebar', '/player/l-perea-7295', '/player/juan-velasco', '/player/gabi-7393', '/player/m-petrov-433', '/player/p-luccin-7430', '/player/m-rodriguez-65427', '/player/f-torres-29366', '/player/m-kezman-5708']","['/player/cesar-11120', '/player/g-milito-7271', '/player/toledo-257694', '/player/alvaro-luiz-maior-de-aquino', '/player/movilla-7446', '/player/l-ponzio-16956', '/player/a-zapater-7503', '/player/savio-257804', '/player/oscar-117572', '/player/sergio-garcia-27009', '/player/ewerthon-henrique-de-souza']"
2005-08-28 17:00:00+00:00,Celta,Málaga,"['/player/pinto-23558', '/player/sergio-34906', '/player/angel-lopez-23461', '/player/diego-rodolfo-placente-72003', '/player/p-contreras-53241', '/player/iriney-28783', '/player/everton-giovanella', '/player/gustavo-lopez', '/player/f-canobbio-27017', '/player/baiano-257633', '/player/nunez-23690']","['/player/francesc-arnau-gravalosa', '/player/alexis-23379', '/player/gerardo-37761', '/player/nacho-28227', '/player/c-navas-34478', '/player/vicente-valcarce', '/player/fernando-sanz', '/player/juan-rodriguez-23582', '/player/romero-257693', '/player/salvador-ballesta-vialcho', '/player/edgar']"
2005-08-28 17:00:00+00:00,Espanyol,Getafe,"['/player/c-kameni-23349', '/player/juanfran-23454', '/player/lopo-23574', '/player/armando-sa-257811', '/player/david-garcia-23353', '/player/p-zabaleta-7502', '/player/pochettino-257705', '/player/ivan-de-la-pena-lopez', '/player/eduardo-costa-27012', '/player/ito', '/player/tamudo-23367']","['/player/luis-garcia-7158', '/player/mariano-andres-pernia', '/player/david-belenguer-reverte', '/player/anibal-matellan', '/player/cosmin-marius-contra-10218', '/player/diego-rivas-23649', '/player/fabio-celestini', '/player/mario-gutierrez-cotelo', '/player/gavilan-23515', '/player/riki-23586', '/player/d-guiza-217020']"
2005-08-28 17:00:00+00:00,Sevilla,Racing,"['/player/a-palop-23480', '/player/sergio-ramos-23341', '/player/david-castedo', '/player/aitor-ocio-29962', '/player/d-alves-23559', '/player/j-navas-27050', '/player/renato-248883', '/player/marti-23391', '/player/antonio-lopez-33121', '/player/f-kanoute-7534', '/player/kepa-23518']","['/player/aouate-7129', '/player/pablo-pinillos-caro', '/player/jose-moraton-taeno', '/player/francisco-borja-enrique-ayesa', '/player/walid-regragui', '/player/felipe-melo-21156', '/player/vitolo-53246', '/player/casquero-23514', '/player/s-dalmat-3162', '/player/jose-fernando-marques-martin', '/player/d-aganzo-7506']"
2005-08-28 17:00:00+00:00,Osasuna,Villarreal,"['/player/ricardo-lopez-felipe', '/player/josetxo-27034', '/player/c-cuellar-3495', '/player/corrales-27021', '/player/javi-flano-7241', '/player/punal-27036', '/player/david-lopez-29967', '/player/ludovic-delporte', '/player/raul-garcia-23527', '/player/bernardo-romeo', '/player/savo-milosevic']","['/player/m-barbosa-68125', '/player/enrique-alvarez-san-juan', '/player/g-rodriguez-23463', '/player/rodolfo-arruabarrena', '/player/jan-kromkamp-1430', '/player/juan-pablo-sorin', '/player/senna-23469', '/player/jose-joaquin-moreno', '/player/j-riquelme-81610', '/player/l-figueroa-54504', '/player/diego-martin-forlan-corazo-39908']"
2005-08-28 17:00:00+00:00,Mallorca,RC Deportivo,"['/player/moya-28767', '/player/f-navarro-23482', '/player/cortes-23510', '/player/a-potenza-922', '/player/s-ballesteros-29356', '/player/guillermo-pereyra-471519', '/player/a-peralta-17266', '/player/campano-29112', '/player/farinos-29231', '/player/tuni-32973', '/player/y-okubo-10934']","['/player/jose-francisco-molina', '/player/l-scaloni-62406', '/player/jorge-andrade', '/player/manuel-pablo-23572', '/player/capdevila-23462', '/player/juanma', '/player/aldo-pedro-duscher', '/player/sergio-gonzalez-soriano', '/player/ivan-carril', '/player/diego-tristan-herrera-30520', '/player/ruben-castro-7564']"
2005-08-28 19:00:00+00:00,Cádiz,Real Madrid,"['/player/armando-riveiro-de-aguilar-malda', '/player/a-paz-10847', '/player/de-quintana-257709', '/player/raul-248229', '/player/varela-257691', '/player/jonathan-sesma-23373', '/player/enrique-257696', '/player/a-fleurquin-210969', '/player/suarez-257712', '/player/pavoni-257704', '/player/oli-257707']","['/player/i-casillas-23340', '/player/roberto-carlos-31611', '/player/m-salgado-33003', '/player/ivan-helguera-bujia', '/player/f-pavon-24026', '/player/d-beckham-72555', '/player/zinedine-zidane', '/player/thomas-gravesen', '/player/ronaldo-luiz-nazario-de-lima', '/player/raul-23347', '/player/j-baptista-9415']"
