name,fullname,dob,country,position,foot,weight,height,potential,elo,href
Gonzalo De Los Santos,Gonzalo De Los Santos,1976-07-19,Uruguay,MID (Midfielder),Unknown,77.0,188.0,78,77,/player/gonzalo-de-los-santos
Rebollo,Alejandro Rebollo,1983-01-11,Spain,GOA (Goalkeeper),Left-footed,86.0,185.0,55,55,/player/rebollo-31261
Bernat Alomar,Bernardo Alomar Carilimdiliman,1987-01-23,Spain,MID (Midfielder),Unknown,77.0,180.0,51,42,/player/bernat-alomar-128191
López Rekarte,Aitor López Rekarte,1975-08-18,Spain,DF (Defender),Unknown,70.0,173.0,82,82,/player/aitor-lopez-rekarte
Diego Placente,Diego Rodolfo Placente,1977-04-24,Argentina,DF (Defender),Left-footed,70.0,175.0,79,79,/player/diego-rodolfo-placente-72003
Leonardo Ponzio,Leonardo Daniel Ponzio,1982-01-29,Argentina,MID (Midfielder),Right,75.0,175.0,83,52,/player/l-ponzio-16956
Fran Moreno,Francisco Javier Moreno Jiménez,1984-05-07,Spain,MID (Midfielder),Right,76.0,187.0,63,51,/player/fran-moreno-48303
Marcelo Sosa,Marcelo Fabián Sosa Farias,1978-02-06,Uruguay,MID (Midfielder),Unknown,76.0,178.0,61,61,/player/sosa-257700
Gorka Iraizoz,Gorka Iraizoz Moreno,1981-03-06,Spain,GOA (Goalkeeper),Right,81.0,191.0,85,85,/player/g-iraizoz-29952
Rafita,Rafael Ramos Lozano,1982-09-18,Spain,DF (Defender),Right,70.0,177.0,68,68,/player/rafita-28942
Everton Giovanella,Everton Giovanella,1970-09-13,Brazil,MID (Midfielder),Unknown,70.0,178.0,77,77,/player/everton-giovanella
José García Calvo,José Antonio Garcia Calvo,1975-04-01,Spain,DF (Defender),Unknown,78.0,185.0,79,79,/player/jose-garcia-calvo
Lucas Lobos,Lucas Armando Lobos,1981-08-03,Mexico,MID (Midfielder),Right,64.0,176.0,84,84,/player/l-lobos-10889
Jordi Gómez,Jordi Gómez García-Penche,1985-05-24,Spain,MID (Midfielder),Left-footed,74.0,178.0,77,60,/player/j-gomez-23358
Generelo,David Generelo Miranda,1982-08-11,Spain,MID (Midfielder),Right,82.0,183.0,70,69,/player/generelo-61595
Prats,Antoni Prats Cervera,1971-09-09,Spain,GOA (Goalkeeper),Unknown,83.0,185.0,84,84,/player/antonio-prats
Carpintero,Santiago Carpintero,1976-09-28,Spain,MID (Midfielder),Unknown,75.0,180.0,68,68,/player/santiago-carpintero-fernandez-29060
Chapi,David Vázquez González,1985-04-12,Spain,DF (Defender),Unknown,72.0,184.0,42,42,/player/david-vazquez-gonzalez
