name,market_value,team,Season
Franco Costanzo,800 mil €,Alavés,2005_06
Roberto Bonano,750 mil €,Alavés,2005_06
Nicolas Ardouin,500 mil €,Alavés,2005_06
Gaspar Gálvez,"2,00 mill. €",Alavés,2005_06
Mauricio Pellegrino,"1,25 mill. €",Alavés,2005_06
Josu Sarriegi,700 mil €,Alavés,2005_06
Óscar Téllez,500 mil €,Alavés,2005_06
Poli,500 mil €,Alavés,2005_06
Lluís Carreras,300 mil €,Alavés,2005_06
Ibon Begoña,-,Alavés,2005_06
Edu Alonso,900 mil €,Alavés,2005_06
David Coromina,600 mil €,Alavés,2005_06
Juanito,"1,00 mill. €",Alavés,2005_06
Mehdi Lacen,475 mil €,Alavés,2005_06
Blagoy Georgiev,"2,00 mill. €",Alavés,2005_06
Santiago Carpintero,"1,25 mill. €",Alavés,2005_06
Martín Astudillo,"1,00 mill. €",Alavés,2005_06
Élton,50 mil €,Alavés,2005_06
Claude Gnakpa,-,Alavés,2005_06
Quique de Lucas,"3,00 mill. €",Alavés,2005_06
Jandro Castro,"1,00 mill. €",Alavés,2005_06
Nenê,600 mil €,Alavés,2005_06
Antonio Pacheco,"2,50 mill. €",Alavés,2005_06
Wesley,"2,00 mill. €",Alavés,2005_06
Henri Antchouet,"4,00 mill. €",Alavés,2005_06
John Aloisi,"2,25 mill. €",Alavés,2005_06
Rodolfo Bodipo,"2,00 mill. €",Alavés,2005_06
Pape Thiaw,"1,80 mill. €",Alavés,2005_06
Rubén Navarro,450 mil €,Alavés,2005_06
José María Mena,400 mil €,Alavés,2005_06
Arthuro,250 mil €,Alavés,2005_06
Daniel Aranzubia,"3,00 mill. €",Athletic,2005_06
Iñaki Lafuente,"1,50 mill. €",Athletic,2005_06
Miguel Escalona,50 mil €,Athletic,2005_06
Igor Etxebarrieta,-,Athletic,2005_06
Eder Martínez,100 mil €,Athletic,2005_06
Carlos Gurpegui,"3,75 mill. €",Athletic,2005_06
Aitor Karanka,"2,00 mill. €",Athletic,2005_06
Luis Prieto,800 mil €,Athletic,2005_06
Ustaritz,700 mil €,Athletic,2005_06
Ander Murillo,400 mil €,Athletic,2005_06
Fernando Amorebieta,400 mil €,Athletic,2005_06
Francisco Tarantino,175 mil €,Athletic,2005_06
Jon Moya,-,Athletic,2005_06
Javi Casas,700 mil €,Athletic,2005_06
Andoni Iraola,"7,50 mill. €",Athletic,2005_06
Mari Lacruz,600 mil €,Athletic,2005_06
Felipe Guréndez,400 mil €,Athletic,2005_06
Unai Expósito,300 mil €,Athletic,2005_06
Asier Ormazábal,100 mil €,Athletic,2005_06
Pablo Orbaiz,900 mil €,Athletic,2005_06
Gontzal Rodríguez,100 mil €,Athletic,2005_06
Tiko,"1,50 mill. €",Athletic,2005_06
Endika Bordas,500 mil €,Athletic,2005_06
Ibon Gutiérrez,200 mil €,Athletic,2005_06
Pablo Paredes,100 mil €,Athletic,2005_06
David de Paula,50 mil €,Athletic,2005_06
Andoitz Galdós,-,Athletic,2005_06
Mikel Martins,-,Athletic,2005_06
Javi González,900 mil €,Athletic,2005_06
Aritz Solabarrieta,500 mil €,Athletic,2005_06
Fran Yeste,"6,50 mill. €",Athletic,2005_06
Julen Guerrero,"1,00 mill. €",Athletic,2005_06
Jonan García,700 mil €,Athletic,2005_06
Mikel Dañobeitia,650 mil €,Athletic,2005_06
Urko Arroyo,125 mil €,Athletic,2005_06
Joseba Etxeberria,"4,00 mill. €",Athletic,2005_06
Aritz Aduriz,"3,25 mill. €",Athletic,2005_06
Ismael Urzaiz,"2,50 mill. €",Athletic,2005_06
Fernando Llorente,700 mil €,Athletic,2005_06
Joseba Arriaga,500 mil €,Athletic,2005_06
David Lizoain,75 mil €,Athletic,2005_06
Leo Franco,"6,50 mill. €",Atlético,2005_06
Iván Cuéllar,550 mil €,Atlético,2005_06
