"name","position","age","nationality","market_value","profile_url","team"
"Gorka Iraizoz","Gorka Iraizoz Portero","Portero","España","3,40 mill. €","https://www.transfermarkt.es/gorka-iraizoz/profil/spieler/7874","Athletic"
"Iñaki Lafuente","Iñaki Lafuente Portero","Portero","España","900 mil €","https://www.transfermarkt.es/inaki-lafuente/profil/spieler/7614","Athletic"
"Armando Ribeiro","Armando Ribeiro Portero","Portero","España","400 mil €","https://www.transfermarkt.es/armando-ribeiro/profil/spieler/29139","Athletic"
"Fernando Amorebieta","Fernando Amorebieta Defensa central","Defensa central","Venezuela","6,00 mill. €","https://www.transfermarkt.es/fernando-amorebieta/profil/spieler/35548","Athletic"
"Javi Martínez","Javi Martínez Defensa central","Defensa central","España","6,00 mill. €","https://www.transfermarkt.es/javi-martinez/profil/spieler/44017","Athletic"
"Aitor Ocio","Aitor Ocio Defensa central","Defensa central","España","3,00 mill. €","https://www.transfermarkt.es/aitor-ocio/profil/spieler/7615","Athletic"
"Carlos Gurpegui","Carlos Gurpegui Defensa central","Defensa central","España","2,00 mill. €","https://www.transfermarkt.es/carlos-gurpegui/profil/spieler/7631","Athletic"
"Ustaritz","Ustaritz Defensa central","Defensa central","España","1,20 mill. €","https://www.transfermarkt.es/ustaritz/profil/spieler/35554","Athletic"
"Xabi Etxeita","Xabi Etxeita Defensa central","Defensa central","España","800 mil €","https://www.transfermarkt.es/xabi-etxeita/profil/spieler/71559","Athletic"
"Ander Murillo","Ander Murillo Defensa central","Defensa central","España","500 mil €","https://www.transfermarkt.es/ander-murillo/profil/spieler/7624","Athletic"
"Xabier Etxebarria","Xabier Etxebarria Defensa central","Defensa central","España","300 mil €","https://www.transfermarkt.es/xabier-etxebarria/profil/spieler/89320","Athletic"
"Mikel Balenziaga","Mikel Balenziaga Lateral izquierdo","Lateral izquierdo","España","2,00 mill. €","https://www.transfermarkt.es/mikel-balenziaga/profil/spieler/85258","Athletic"
"Koikili","Koikili Lateral izquierdo","Lateral izquierdo","España","1,80 mill. €","https://www.transfermarkt.es/koikili/profil/spieler/57024","Athletic"
"Javi Casas","Javi Casas Lateral izquierdo","Lateral izquierdo","España","300 mil €","https://www.transfermarkt.es/javi-casas/profil/spieler/26137","Athletic"
"Andoni Iraola","Andoni Iraola Lateral derecho","Lateral derecho","España","9,00 mill. €","https://www.transfermarkt.es/andoni-iraola/profil/spieler/15804","Athletic"
"Eneko Bóveda","Eneko Bóveda Lateral derecho","Lateral derecho","España","-","https://www.transfermarkt.es/eneko-boveda/profil/spieler/89313","Athletic"
"Unai Medina","Unai Medina Lateral derecho","Lateral derecho","España","-","https://www.transfermarkt.es/unai-medina/profil/spieler/104234","Athletic"
"Pablo Orbaiz","Pablo Orbaiz Pivote","Pivote","España","2,80 mill. €","https://www.transfermarkt.es/pablo-orbaiz/profil/spieler/7633","Athletic"
