"name","market_value","team"
"Gorka Iraizoz","5,00 mill. €","Athletic"
"Armando Ribeiro","400 mil €","Athletic"
"Javi Martínez","15,00 mill. €","Athletic"
"Fernando Amorebieta","8,00 mill. €","Athletic"
"Carlos Gurpegui","3,00 mill. €","Athletic"
"Ustaritz","2,00 mill. €","Athletic"
"Aitor Ocio","700 mil €","Athletic"
"Xabi Etxeita","600 mil €","Athletic"
"Xabier Etxebarria","-","Athletic"
"Aritz Borda","-","Athletic"
"Jonás Ramalho","-","Athletic"
"Jon Aurtenetxe","-","Athletic"
"Mikel Santamaría","-","Athletic"
"Xabier Castillo","2,80 mill. €","Athletic"
"Koikili","2,20 mill. €","Athletic"
"Xabi Galán","-","Athletic"
"Andoni Iraola","9,00 mill. €","Athletic"
"Óscar de Marcos","2,00 mill. €","Athletic"
"Iban Zubiaurre","800 mil €","Athletic"
"Eneko Bóveda","-","Athletic"
"Mikel San José","3,40 mill. €","Athletic"
"Pablo Orbaiz","3,00 mill. €","Athletic"
"Ander Iturraspe","800 mil €","Athletic"
"Iñaki Muñoz","400 mil €","Athletic"
"David López","3,60 mill. €","Athletic"
"Iñigo Pérez","-","Athletic"
"Igor Gabilondo","3,00 mill. €","Athletic"
"Fran Yeste","2,50 mill. €","Athletic"
"Iker Muniain","5,00 mill. €","Athletic"
"Markel Susaeta","5,00 mill. €","Athletic"
"Joseba Etxeberria","1,00 mill. €","Athletic"
"Gaizka Toquero","4,00 mill. €","Athletic"
"Fernando Llorente","15,00 mill. €","Athletic"
"Iñigo Díaz de Cerio","1,80 mill. €","Athletic"
"Ion Vélez","800 mil €","Athletic"
"Isaac Aketxe","-","Athletic"
"David de Gea","7,00 mill. €","Atlético"
"Sergio Asenjo","6,00 mill. €","Atlético"
"Roberto","2,00 mill. €","Atlético"
"Joel Robles","400 mil €","Atlético"
"Nacho Gil","-","Atlético"
"John Heitinga","9,00 mill. €","Atlético"
"Tomas Ujfalusi","6,00 mill. €","Atlético"
"Álvaro Domínguez","5,00 mill. €","Atlético"
"Luis Amaranto Perea","3,80 mill. €","Atlético"
"Juanito","3,00 mill. €","Atlético"
"Pablo Ibáñez","2,80 mill. €","Atlético"
"Leandro Cabrera","1,00 mill. €","Atlético"
"Antonio López","6,00 mill. €","Atlético"
"Mariano Pernía","3,00 mill. €","Atlético"
"Juan Valera","2,00 mill. €","Atlético"
"Paulo Assunção","8,00 mill. €","Atlético"
"Ignacio Camacho","1,80 mill. €","Atlético"
"Rubén Pérez","-","Atlético"
"Tiago Mendes","8,00 mill. €","Atlético"
"Cléber Santana","2,00 mill. €","Atlético"
"Koke","-","Atlético"
"Sergio Rodríguez","-","Atlético"
"Sebastián Gallegos","-","Atlético"
"Raúl García","9,00 mill. €","Atlético"
"José Manuel Jurado","9,00 mill. €","Atlético"
"Maxi Rodríguez","18,00 mill. €","Atlético"
"Simão","16,00 mill. €","Atlético"
"Cedrick","-","Atlético"
"Jorge Molino","-","Atlético"
"José Antonio Reyes","10,00 mill. €","Atlético"
"Eduardo Salvio","6,00 mill. €","Atlético"
"Keko Gontán","800 mil €","Atlético"
"Florent Sinama-Pongolle","6,20 mill. €","Atlético"
"Sergio Agüero","36,00 mill. €","Atlético"
"Diego Forlán","22,00 mill. €","Atlético"
"Ibrahima Balde","1,00 mill. €","Atlético"
"Borja Bastón","-","Atlético"
"Víctor Valdés","18,00 mill. €","Barcelona"
"José Manuel Pinto","1,00 mill. €","Barcelona"
"Rubén Miño","-","Barcelona"
"Carles Puyol","28,00 mill. €","Barcelona"
"Gerard Piqué","25,00 mill. €","Barcelona"
"Gabriel Milito","14,00 mill. €","Barcelona"
"Rafa Márquez","9,00 mill. €","Barcelona"
"Dmytro Chygrynskyi","8,00 mill. €","Barcelona"
"Andreu Fontàs","-","Barcelona"
"Marc Muniesa","-","Barcelona"
"Marc Bartra","-","Barcelona"
"Éric Abidal","20,00 mill. €","Barcelona"
"Maxwell","10,00 mill. €","Barcelona"
"Dani Alves","30,00 mill. €","Barcelona"
"Sergio Busquets","20,00 mill. €","Barcelona"
"Jonathan dos Santos","1,00 mill. €","Barcelona"
"Xavi","65,00 mill. €","Barcelona"
"Andrés Iniesta","60,00 mill. €","Barcelona"
"Yaya Touré","18,00 mill. €","Barcelona"
"Seydou Keita","16,00 mill. €","Barcelona"
"Víctor Sánchez","800 mil €","Barcelona"
"Thiago Alcántara","100 mil €","Barcelona"
"Gai Assulin","-","Barcelona"
"Lionel Messi","80,00 mill. €","Barcelona"
"Pedro","14,00 mill. €","Barcelona"
"Jeffrén","3,00 mill. €","Barcelona"
"Bojan Krkic","10,00 mill. €","Barcelona"
"Zlatan Ibrahimović","46,00 mill. €","Barcelona"
"Thierry Henry","12,00 mill. €","Barcelona"
"Eidur Gudjohnsen","4,50 mill. €","Barcelona"
"Jonathan Soriano","2,00 mill. €","Barcelona"
"Daniel Aranzubia","5,00 mill. €","RC Deportivo"
"Manu Fernández","500 mil €","RC Deportivo"
"Marcos Valín","-","RC Deportivo"
"Alberto Lopo","4,00 mill. €","RC Deportivo"
"Diego Colotto","4,00 mill. €","RC Deportivo"
"Zé Castro","2,00 mill. €","RC Deportivo"
"Adrián López","500 mil €","RC Deportivo"
"David Rochela","-","RC Deportivo"
"Filipe Luís","10,00 mill. €","RC Deportivo"
"Brayan Angulo","1,00 mill. €","RC Deportivo"
"Raúl Carnero","300 mil €","RC Deportivo"
"Manuel Pablo","2,00 mill. €","RC Deportivo"
"Laure","1,00 mill. €","RC Deportivo"
"Diego Seoane","-","RC Deportivo"
"Juan Rodríguez","4,00 mill. €","RC Deportivo"
"Juca","3,00 mill. €","RC Deportivo"
"Andrés Guardado","12,00 mill. €","RC Deportivo"
"Antonio Tomás","3,00 mill. €","RC Deportivo"
"Sergio González","2,00 mill. €","RC Deportivo"
"Juan Domínguez","1,00 mill. €","RC Deportivo"
"Juan Carlos Valerón","1,40 mill. €","RC Deportivo"
"Iván Pérez","600 mil €","RC Deportivo"
"Dani Rodríguez","-","RC Deportivo"
"Ángel Lafita","7,00 mill. €","RC Deportivo"
"Pablo Álvarez","2,40 mill. €","RC Deportivo"
"David Añón","-","RC Deportivo"
"Riki","2,80 mill. €","RC Deportivo"
"Adrián López","2,40 mill. €","RC Deportivo"
"Lassad Nouioui","2,00 mill. €","RC Deportivo"
"Rodolfo Bodipo","1,00 mill. €","RC Deportivo"
"Mista","1,00 mill. €","RC Deportivo"
"Carlos Kameni","10,00 mill. €","Espanyol"
"Cristian Álvarez","2,00 mill. €","Espanyol"
"Javier Ruiz","200 mil €","Espanyol"
"Nicolás Pareja","6,00 mill. €","Espanyol"
"Juan Forlín","3,40 mill. €","Espanyol"
"Facundo Roncaglia","2,40 mill. €","Espanyol"
"Víctor Ruiz","1,00 mill. €","Espanyol"
"Jordi Amat","300 mil €","Espanyol"
"Ángel Martínez","-","Espanyol"
"David García","2,00 mill. €","Espanyol"
"Dídac Vilà","500 mil €","Espanyol"
"Javi Chica","2,00 mill. €","Espanyol"
"Iván Pillud","1,80 mill. €","Espanyol"
"Javi López","100 mil €","Espanyol"
"Moisés Hurtado","4,00 mill. €","Espanyol"
"Milan Smiljanic","1,40 mill. €","Espanyol"
"Raúl Baena","1,20 mill. €","Espanyol"
"Azrack Mahamat","-","Espanyol"
"Luis García","5,00 mill. €","Espanyol"
"Javi Márquez","700 mil €","Espanyol"
"Marc Pedraza","-","Espanyol"
"Juanjo Ciércoles","-","Espanyol"
"Shunsuke Nakamura","6,00 mill. €","Espanyol"
"Joan Verdú","3,00 mill. €","Espanyol"
"Iván de la Peña","800 mil €","Espanyol"
"Julián López de Lerma","-","Espanyol"
"Lucas Porcar","-","Espanyol"
"José Callejón","3,00 mill. €","Espanyol"
"Fernando Marqués","1,40 mill. €","Espanyol"
"Daniel Osvaldo","4,00 mill. €","Espanyol"
"Raúl Tamudo","3,00 mill. €","Espanyol"
"Iván Alonso","2,80 mill. €","Espanyol"
"Ferrán Corominas","1,80 mill. €","Espanyol"
"Ben Sahar","1,20 mill. €","Espanyol"
"Óscar Ustari","2,00 mill. €","Getafe"
"Jordi Codina","1,00 mill. €","Getafe"
"Gonzalo","-","Getafe"
"Cata Díaz","5,00 mill. €","Getafe"
"Rafa López","3,00 mill. €","Getafe"
"Mario Abrante","1,80 mill. €","Getafe"
"David Belenguer","500 mil €","Getafe"
"Alberto Escassi","-","Getafe"
"Álvaro Arroyo","-","Getafe"
"Mané","5,00 mill. €","Getafe"
"Lucas Licht","1,30 mill. €","Getafe"
"Franck Signorino","400 mil €","Getafe"
"David Cortés","2,80 mill. €","Getafe"
"Miguel Torres","2,60 mill. €","Getafe"
"Cosmin Contra","800 mil €","Getafe"
"Derek Boateng","3,40 mill. €","Getafe"
"Javi Casquero","2,00 mill. €","Getafe"
"Fabio Celestini","1,00 mill. €","Getafe"
"Dani Parejo","5,00 mill. €","Getafe"
"Adrián González","1,00 mill. €","Getafe"
"Juan Albín","6,00 mill. €","Getafe"
"Jaime Gavilán","4,00 mill. €","Getafe"
"Adrián Sardinero","-","Getafe"
"Pedro León","8,00 mill. €","Getafe"
"Pedro Ríos","2,00 mill. €","Getafe"
"Roberto Soldado","10,00 mill. €","Getafe"
"Manu del Moral","5,00 mill. €","Getafe"
"Miku","2,80 mill. €","Getafe"
"Kepa Blanco","900 mil €","Getafe"
"Dudu Aouate","3,00 mill. €","Mallorca"
"Germán Lux","1,40 mill. €","Mallorca"
"Nauzet Pérez","100 mil €","Mallorca"
"Iván Ramis","4,00 mill. €","Mallorca"
"José Nunes","3,80 mill. €","Mallorca"
"Josemi","2,80 mill. €","Mallorca"
"Rubén González","900 mil €","Mallorca"
"Guillem Truyols","-","Mallorca"
"Ayoze Díaz","2,80 mill. €","Mallorca"
"Enrique Corrales","2,00 mill. €","Mallorca"
"Fernando Varela","3,00 mill. €","Mallorca"
"Felipe Mattioni","2,00 mill. €","Mallorca"
"Mario Suárez","4,00 mill. €","Mallorca"
"Josep Lluís Martí","1,60 mill. €","Mallorca"
"Borja Valero","5,00 mill. €","Mallorca"
"Bruno China","1,80 mill. €","Mallorca"
"Tomás Pina","-","Mallorca"
"Julio Álvarez","4,20 mill. €","Mallorca"
"Paulo Pezzolano","1,00 mill. €","Mallorca"
"Chory Castro","5,00 mill. €","Mallorca"
"Tuni","1,00 mill. €","Mallorca"
"Alberto López","-","Mallorca"
"Michaël Pereira","-","Mallorca"
